addr,smoking,drinking,w_control,nutirition,stressed,depressed
충남 공주시,19.0(1.5),44.6(2.2),65.8(2.1),65.5(6.2),22.2(1.9),7.3(1.1)
충남 금산군,22.2(2.1),47.4(2.5),55.8(2.5),81.4(5.0),24.5(2.2),8.5(1.6)
충남 논산시,22.1(1.9),49.6(2.3),66.3(2.0),88.5(2.7),22.1(2.0),6.2(1.1)
충남 당진시,20.7(1.6),51.3(2.2),71.5(1.9),84.9(5.1),23.4(1.8),7.8(1.4)
충남 보령시,22.9(1.8),49.3(2.1),49.6(2.3),77.2(2.9),20.9(2.0),4.2(1.0)
충남 부여군,19.8(2.0),51.6(2.8),51.3(2.8),83.2(4.1),23.1(2.6),6.6(1.3)
충남 서산시,20.9(1.5),60.1(1.9),70.8(1.8),80.5(2.6),28.0(1.8),6.0(1.0)
충남 서천군,19.1(2.0),42.9(3.2),64.0(3.1),88.6(3.5),27.1(3.3),8.7(2.0)
충남 아산시,22.3(1.4),55.3(1.7),67.1(1.6),86.0(2.5),26.0(1.6),5.2(0.8)
충남 연기군,,,,86.5(3.0),,
충남 예산군,21.9(1.8),51.3(2.3),58.8(2.3),88.6(4.2),29.1(2.2),3.3(0.9)
충남 천안시,19.0(1.2),56.2(1.6),69.9(1.5),81.5(3.0),31.3(1.5),6.1(0.8)
충남 청양군,20.3(2.1),50.5(2.9),56.1(2.8),78.7(3.5),31.9(2.7),5.7(1.3)
충남 태안군,20.4(2.1),51.2(2.4),59.8(2.5),79.1(3.7),28.4(2.8),5.7(1.1)
충남 홍성군,16.4(1.6),47.8(2.4),61.1(2.1),68.9(4.2),29.7(2.2),6.5(1.0)
전북 고창군,16.4(2.0),48.3(2.8),48.3(2.8),93.1(2.7),20.5(2.3),2.4(0.7)
전북 군산시,17.7(1.4),47.8(2.0),59.7(1.9),73.1(5.4),26.0(2.0),3.0(0.7)
전북 김제시,24.9(1.9),40.5(2.7),56.4(2.5),81.8(3.0),29.4(2.7),5.6(1.0)
전북 남원시,19.1(2.2),53.0(2.7),69.3(2.6),79.2(2.4),19.8(2.3),7.7(1.2)
전북 무주군,18.1(1.6),52.9(2.7),55.1(2.4),75.6(4.3),25.8(2.6),4.4(1.1)
전북 부안군,21.8(2.1),43.1(3.0),62.0(2.6),88.4(4.1),25.7(2.7),3.6(1.0)
전북 순창군,20.7(2.3),51.2(2.9),59.6(2.7),86.3(2.0),19.4(2.2),3.7(1.0)
전북 완주군,18.6(1.7),57.7(2.0),68.7(2.1),75.2(3.8),23.8(2.1),2.8(0.6)
전북 익산시,17.9(1.3),48.3(1.9),64.7(1.7),75.0(2.9),24.4(1.8),2.5(0.5)
전북 임실군,21.8(2.2),47.6(2.6),49.4(2.7),83.9(3.4),30.1(2.7),4.9(1.2)
전북 장수군,22.2(2.1),49.6(2.8),43.2(3.0),70.9(4.9),14.1(1.8),4.9(1.3)
전북 전주시,20.1(1.3),52.8(1.6),67.3(1.5),69.3(5.8),30.8(1.6),6.5(0.7)
전북 정읍시,21.4(1.9),50.6(2.4),66.2(2.2),76.3(3.1),26.5(2.1),4.6(0.9)
전북 진안군,19.2(2.4),41.2(3.3),58.2(2.8),95.9(2.1),22.6(2.6),5.8(1.8)
전남 강진군,19.3(2.0),43.0(2.9),55.9(2.5),75.1(4.0),17.2(2.2),3.6(1.1)
전남 고흥군,18.0(2.1),46.9(2.7),49.9(2.7),88.1(3.2),17.5(2.0),2.5(0.7)
전남 곡성군,17.2(1.8),51.9(3.2),57.9(2.7),82.0(3.2),25.0(2.8),3.1(0.9)
전남 광양시,16.8(1.4),59.0(1.8),61.8(1.8),71.1(4.3),21.2(1.8),2.9(0.7)
전남 구례군,14.1(2.0),43.7(2.7),70.3(2.6),84.4(3.6),14.8(2.4),1.1(0.4)*
전남 나주시,21.0(1.6),55.9(1.9),65.9(1.8),88.1(2.6),27.5(2.0),7.3(1.1)
전남 담양군,14.8(1.8),47.2(2.7),57.0(2.4),86.6(4.3),16.3(2.0),1.7(0.5)*
전남 목포시,20.3(1.3),52.1(1.8),63.2(1.8),82.0(3.0),20.9(1.6),2.7(0.8)*
전남 무안군,14.9(1.8),45.5(2.4),62.3(2.4),90.6(2.2),20.2(1.8),2.5(0.7)*
전남 보성군,16.8(2.1),43.8(3.3),56.7(2.8),87.5(3.0),22.1(2.6),2.3(0.5)
전남 순천시,14.1(1.5),52.5(2.2),63.7(2.1),89.8(3.1),21.0(1.6),2.8(0.6)
전남 신안군,24.1(1.9),57.2(2.5),47.9(2.3),82.9(3.9),6.2(1.6),2.3(0.5)
전남 여수시,20.4(1.7),58.7(1.9),66.4(1.8),75.2(6.0),20.7(1.8),6.3(1.1)
전남 영광군,16.8(1.6),49.2(2.5),62.4(2.3),95.1(2.7),24.8(2.0),8.6(1.4)
전남 영암군,17.7(1.8),43.6(2.4),57.4(2.2),58.8(5.4),28.7(3.0),2.2(0.8)
전남 완도군,24.7(2.4),56.7(2.8),52.9(2.6),69.0(6.4),24.1(2.5),3.6(0.9)
전남 장성군,19.6(2.2),45.9(2.7),60.7(2.2),77.6(3.5),23.2(2.4),9.0(1.7)
전남 장흥군,25.0(2.0),39.3(2.6),47.7(3.3),80.4(2.9),26.6(2.5),3.5(1.1)
전남 진도군,18.6(2.2),42.9(3.0),68.2(2.5),72.7(3.6),12.3(2.0),1.3(0.6)*
전남 함평군,21.8(2.4),44.7(3.0),46.8(3.3),83.4(6.2),15.6(2.5),2.3(0.9)*
전남 해남군,21.2(2.3),54.2(2.5),55.9(2.6),80.9(2.4),25.9(2.5),4.3(0.9)
전남 화순군,21.3(1.8),44.9(2.2),61.4(2.4),81.1(2.8),30.3(2.2),8.9(1.2)
경북 경산시,18.6(1.4),53.4(1.9),63.5(1.8),81.9(3.6),28.1(1.9),10.0(1.1)
경북 경주시,18.7(1.8),56.4(2.1),63.7(1.8),88.1(3.7),23.0(1.8),6.5(1.3)
경북 고령군,24.8(2.2),54.9(2.5),56.7(2.6),73.2(4.0),21.1(2.6),5.3(1.3)
