"행정구역(시군구)별",2021. 08,2021. 08,2021. 08,2019,2019,2019,2020,2020,2020
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"금산군",50783,25632,25151,52257,26309,25948,51413,25928,25485
"부여군",64220,31913,32307,66740,33049,33691,65354,32374,32980
"서천군",51036,25203,25833,52805,26110,26695,51866,25614,26252
"청양군",30429,15475,14954,31717,15997,15720,30948,15691,15257
"홍성군",99465,49537,49928,100423,49931,50492,100102,49796,50306
"예산군",77241,38840,38401,79238,39806,39432,78084,39156,38928
"태안군",61890,31192,30698,62743,31715,31028,62214,31371,30843
"전라북도",1792476,891776,900700,1818917,904110,914807,1804104,896874,907230
"전주시",657577,323515,334062,654394,322236,332158,657432,323542,333890
"완산구",337747,164490,173257,338839,165180,173659,339718,165413,174305
"덕진구",319830,159025,160805,315555,157056,158499,317714,158129,159585
"전주시효자출장소",0,0,0,-,-,-,0,0,0
"군산시",266026,134677,131349,270131,136421,133710,267859,135332,132527
"익산시",279517,139265,140252,287771,143392,144379,282276,140573,141703
"익산시함열출장소",0,0,0,-,-,-,0,0,0
"정읍시",107169,53242,53927,110541,54736,55805,108508,53791,54717
"남원시",79933,39220,40713,81441,39884,41557,80662,39560,41102
"김제시",81347,40383,40964,83895,41624,42271,82450,40844,41606
"완주군",91223,46887,44336,92220,47290,44930,91609,47077,44532
"진안군",25063,12683,12380,25697,12966,12731,25394,12832,12562
"무주군",23834,11866,11968,24303,12090,12213,24036,11959,12077
"장수군",21811,10882,10929,22441,11165,11276,22085,11000,11085
"임실군",26873,13748,13125,28902,14659,14243,27314,13966,13348
"순창군",27120,13266,13854,28382,13756,14626,27810,13520,14290
"고창군",53739,26676,27063,55504,27418,28086,54529,26964,27565
"부안군",51244,25466,25778,53295,26473,26822,52140,25914,26226
"전라남도",1838353,924912,913441,1868745,937674,931071,1851549,930615,920934
"목포시",219944,109535,110409,229861,114565,115296,224044,111578,112466
"여수시",277752,141667,136085,282786,143791,138995,280242,142995,137247
"순천시",281878,140664,141214,279598,139324,140274,282189,140772,141417
"나주시",116670,58844,57826,114664,57668,56996,115613,58194,57419
"광양시",150643,78647,71996,156750,81365,75385,151769,79144,72625
"담양군",46314,23497,22817,46535,23719,22816,46280,23502,22778
"곡성군",27754,13619,14135,28887,14114,14773,28039,13707,14332
"구례군",25161,12241,12920,26563,12924,13639,25719,12519,13200
"고흥군",63124,30683,32441,64913,31445,33468,63922,31051,32871
"보성군",39734,19387,20347,41420,20063,21357,40482,19719,20763
"화순군",62439,30870,31569,62737,31061,31676,62522,30906,31616
"장흥군",36876,17931,18945,38563,18690,19873,37800,18381,19419
"강진군",34099,16514,17585,35286,16944,18342,34597,16715,17882
"해남군",67797,33556,34241,70354,34642,35712,68806,33975,34831
"영암군",53108,27504,25604,54593,28027,26566,53699,27595,26104
"무안군",89675,45064,44611,81105,40659,40446,86132,43254,42878
"함평군",31418,15815,15603,32861,16404,16457,32050,16062,15988
"영광군",52288,26129,26159,53852,26828,27024,53099,26468,26631
"장성군",43715,22394,21321,45739,23489,22250,44464,22781,21683
"완도군",49171,24757,24414,50689,25457,25232,49916,25099,24817
"진도군",30242,14992,15250,30715,15093,15622,31227,15429,15798
"신안군",38551,20602,17949,40274,21402,18872,38938,20769,18169
"경상북도",2630254,1325354,1304900,2665836,1342037,1323799,2639422,1329211,1310211
"포항시",503344,254837,248507,507025,256140,250885,502916,254222,248694
"남구",230550,119156,111394,235633,121261,114372,230422,118767,111655
"북구",272794,135681,137113,271392,134879,136513,272494,135455,137039
"경주시",252344,126304,126040,255402,127928,127474,253502,126911,126591
"김천시",140130,70304,69826,141229,70743,70486,140548,70525,70023
"안동시",157534,77935,79599,160052,79239,80813,158907,78661,80246
"구미시",413813,212607,201206,419742,215208,204534,416328,213720,202608
"영주시",102258,50715,51543,105067,52060,53007,103119,51070,52049
"영천시",101881,51795,50086,102470,52100,50370,102015,51812,50203
"상주시",96019,47126,48893,100688,49378,51310,97228,47634,49594
"문경시",71045,34883,36162,72242,35391,36851,71406,35000,36406
"경산시",267935,134763,133172,263185,132616,130569,263728,132805,130923
"군위군",22853,11698,11155,23843,12166,11677,23256,11892,11364
"의성군",50952,24913,26039,52595,25720,26875,51724,25265,26459
"청송군",24773,12340,12433,25416,12694,12722,25044,12482,12562
"영양군",16350,8155,8195,16993,8419,8574,16692,8263,8429
"영덕군",35678,16902,18776,37361,17777,19584,36313,17197,19116
"청도군",41736,20518,21218,42910,21065,21845,42263,20775,21488
"고령군",30792,15830,14962,32373,16548,15825,31361,16074,15287
"성주군",42880,22197,20683,44015,22716,21299,43414,22473,20941
"칠곡군",114021,59390,54631,117047,61063,55984,114758,59828,54930
"예천군",55846,27439,28407,55100,27032,28068,55613,27352,28261
"봉화군",30969,15627,15342,32150,16146,16004,31494,15853,15641
"울진군",48125,24146,23979,49314,24658,24656,48716,24441,24275
"울릉군",8976,4930,4046,9617,5230,4387,9077,4956,4121
"경상남도",3322373,1672737,1649636,3362553,1692032,1670521,3340216,1681423,1658793
"창원시",1034150,523919,510231,1044740,529262,515478,1036738,525278,511460
"의창구",218422,111226,107196,258582,131544,127038,262408,133544,128864
"성산구",252996,129076,123920,220945,112865,108080,214570,109642,104928
