,addr,smoking,drinking,w_control,nutirition,stressed,depressed
172,보령,22.9,49.3,49.6,77.2,20.9,4.2
173,부여,19.8,51.6,51.3,83.2,23.1,6.6
174,서산,20.9,60.1,70.8,80.5,28.0,6.0
175,서천,19.1,42.9,64.0,88.6,27.1,8.7
176,아산,22.3,55.3,67.1,86.0,26.0,5.2
177,연기,0.0,0.0,0.0,86.5,0.0,0.0
178,예산,21.9,51.3,58.8,88.6,29.1,3.3
179,천안,19.0,56.2,69.9,81.5,31.3,6.1
180,청양,20.3,50.5,56.1,78.7,31.9,5.7
181,태안,20.4,51.2,59.8,79.1,28.4,5.7
182,홍성,16.4,47.8,61.1,68.9,29.7,6.5
183,고창,16.4,48.3,48.3,93.1,20.5,2.4
184,군산,17.7,47.8,59.7,73.1,26.0,3.0
185,김제,24.9,40.5,56.4,81.8,29.4,5.6
186,남원,19.1,53.0,69.3,79.2,19.8,7.7
187,무주,18.1,52.9,55.1,75.6,25.8,4.4
188,부안,21.8,43.1,62.0,88.4,25.7,3.6
189,순창,20.7,51.2,59.6,86.3,19.4,3.7
190,완주,18.6,57.7,68.7,75.2,23.8,2.8
191,익산,17.9,48.3,64.7,75.0,24.4,2.5
192,임실,21.8,47.6,49.4,83.9,30.1,4.9
193,장수,22.2,49.6,43.2,70.9,14.1,4.9
194,전주,20.1,52.8,67.3,69.3,30.8,6.5
195,정읍,21.4,50.6,66.2,76.3,26.5,4.6
196,진안,19.2,41.2,58.2,95.9,22.6,5.8
197,강진,19.3,43.0,55.9,75.1,17.2,3.6
198,고흥,18.0,46.9,49.9,88.1,17.5,2.5
199,곡성,17.2,51.9,57.9,82.0,25.0,3.1
200,광양,16.8,59.0,61.8,71.1,21.2,2.9
201,구례,14.1,43.7,70.3,84.4,14.8,1.1
202,나주,21.0,55.9,65.9,88.1,27.5,7.3
203,담양,14.8,47.2,57.0,86.6,16.3,1.7
204,목포,20.3,52.1,63.2,82.0,20.9,2.7
205,무안,14.9,45.5,62.3,90.6,20.2,2.5
206,보성,16.8,43.8,56.7,87.5,22.1,2.3
207,순천,14.1,52.5,63.7,89.8,21.0,2.8
208,신안,24.1,57.2,47.9,82.9,6.2,2.3
209,여수,20.4,58.7,66.4,75.2,20.7,6.3
210,영광,16.8,49.2,62.4,95.1,24.8,8.6
211,영암,17.7,43.6,57.4,58.8,28.7,2.2
212,완도,24.7,56.7,52.9,69.0,24.1,3.6
213,장성,19.6,45.9,60.7,77.6,23.2,9.0
214,장흥,25.0,39.3,47.7,80.4,26.6,3.5
215,진도,18.6,42.9,68.2,72.7,12.3,1.3
216,함평,21.8,44.7,46.8,83.4,15.6,2.3
217,해남,21.2,54.2,55.9,80.9,25.9,4.3
218,화순,21.3,44.9,61.4,81.1,30.3,8.9
219,경산,18.6,53.4,63.5,81.9,28.1,10.0
220,경주,18.7,56.4,63.7,88.1,23.0,6.5
221,고령,24.8,54.9,56.7,73.2,21.1,5.3
222,구미,24.4,58.4,65.1,79.7,27.7,6.7
225,군위,14.2,29.9,68.7,89.5,18.8,6.5
226,김천,18.2,51.8,59.8,85.9,24.7,5.8
227,문경,22.3,51.7,54.9,69.0,28.9,7.5
228,봉화,23.9,51.1,52.4,83.9,33.5,9.6
229,상주,19.4,49.4,46.8,83.7,18.7,2.3
230,성주,19.0,46.1,61.5,75.3,15.8,3.1
231,안동,21.0,57.4,71.1,85.3,25.4,5.9
232,영덕,19.2,47.3,63.7,69.5,17.5,4.0
233,영양,20.9,54.9,44.8,74.4,24.2,3.0
234,영주,23.5,51.7,52.2,84.0,24.4,5.1
235,영천,24.3,52.0,61.8,77.4,28.7,6.7
236,예천,16.9,53.0,62.2,81.0,26.9,5.9
237,울릉,25.6,55.3,56.0,73.4,21.3,0.4
238,울진,19.3,46.6,59.5,77.7,16.8,3.4
239,의성,21.2,42.5,54.0,88.0,15.4,11.7
240,청도,20.1,47.9,54.0,70.1,30.0,6.5
241,청송,23.5,46.3,60.1,80.7,22.4,2.4
242,칠곡,20.7,52.8,63.9,80.1,24.7,6.0
243,포항,19.6,59.7,68.2,87.8,24.8,4.6
246,거제,18.7,50.3,68.8,82.7,21.4,5.6
247,거창,20.7,57.6,61.3,76.3,24.3,3.5
248,고성(경남),18.4,54.7,56.2,85.7,16.1,4.0
249,김해,20.2,56.7,65.8,85.4,29.5,10.2
250,남해,19.0,53.7,59.2,94.0,21.7,3.3
251,창원,18.4,59.7,68.8,72.5,26.2,5.8
255,밀양,21.4,52.5,70.8,75.9,25.7,5.4
256,사천,20.5,58.1,57.5,84.5,30.8,7.8
257,산청,21.9,46.5,53.0,93.1,18.6,5.4
258,양산,21.2,58.1,65.3,89.1,28.0,7.2
259,의령,21.2,53.8,62.8,92.2,18.4,5.1
260,진주,17.1,61.6,62.3,74.8,29.9,5.8
261,창녕,19.5,40.9,76.9,75.9,15.1,1.6
262,통영,19.3,55.3,71.0,84.2,20.6,3.9
263,하동,19.6,52.0,49.4,84.9,27.3,4.7
264,함안,15.5,56.4,72.0,78.0,27.2,1.9
265,함양,14.9,51.5,59.8,87.4,23.7,4.6
266,합천,22.1,56.3,56.5,88.7,20.3,2.3
267,서귀포,19.7,54.0,66.1,89.7,24.7,5.7
271,제주,18.4,55.5,77.9,0.0,26.2,3.8
